location,forecast_date,temperature_high,temperature_low,rainfall_mm,humidity_percent,conditions,farming_advisory,risk_level,id,created_date,updated_date,created_by_id,created_by,is_sample
"Jinja","2025-12-29","27","21","0","75","sunny","Optimal for applying soil amendments.","","694e3466b0df7909ab0e70d6","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2025-12-26","25","19","16","87","rainy","Avoid soil compaction in wet conditions.","","694e3466b0df7909ab0e70e8","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2025-12-30","24","18","11","85","rainy","Prepare for potential flooding.","","694e3466b0df7909ab0e70d0","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kasese","2025-12-29","29","20","0","73","sunny","Perfect for planting drought-resistant crops.","","694e3466b0df7909ab0e70dd","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2025-12-28","26","19","6","80","cloudy","Suitable day for checking soil health.","","694e3466b0df7909ab0e70e3","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kasese","2025-12-27","26","17","20","89","rainy","Avoid working on saturated soil.","","694e3466b0df7909ab0e70db","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2025-12-31","24","18","15","87","rainy","Check for pests and disease in crops.","","694e3466b0df7909ab0e70e6","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kasese","2025-12-31","26","17","15","90","rainy","Ensure drainage is maintained.","","694e3466b0df7909ab0e70df","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Jinja","2025-12-28","26","20","7","80","cloudy","Good for harvesting or maintaining crops.","","694e3466b0df7909ab0e70d5","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2025-12-29","26","19","0","73","sunny","Ideal for performing maintenance on crops.","","694e3466b0df7909ab0e70cf","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kasese","2025-12-30","27","19","8","82","rainy","Be vigilant for pests.","","694e3466b0df7909ab0e70de","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2025-12-28","26","19","7","79","cloudy","Good for maintaining and checking crops.","","694e3466b0df7909ab0e70ea","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2025-12-26","24","17","18","90","rainy","Prevent water pooling in fields.","","694e3466b0df7909ab0e70cc","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2026-01-01","25","18","0","72","sunny","Favorable for land preparation.","","694e3466b0df7909ab0e70d2","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2026-01-01","26","20","0","72","sunny","Good for crop maintenance activities.","","694e3466b0df7909ab0e70e7","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Jinja","2025-12-26","25","19","15","85","rainy","Manage excess water in the fields.","","694e3466b0df7909ab0e70d3","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2025-12-27","23","16","22","91","rainy","Consider soil conservation practices.","","694e3466b0df7909ab0e70cd","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Jinja","2025-12-31","24","18","14","85","rainy","Inspect crops for disease problems.","","694e3466b0df7909ab0e70d8","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2025-12-28","25","18","6","78","cloudy","Good time to check soil fertility.","","694e3466b0df7909ab0e70ce","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2025-12-29","27","20","0","75","sunny","Favorable for field preparation.","","694e3466b0df7909ab0e70e4","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2026-01-01","26","20","0","73","sunny","Perfect for harvesting already mature crops.","","694e3466b0df7909ab0e70ee","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2025-12-27","24","18","21","89","rainy","Be cautious of flooding; take extra steps to manage water.","","694e3466b0df7909ab0e70e9","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2026-01-01","27","20","0","74","sunny","Great opportunity for harvesting mature crops.","","694e3466b0df7909ab0e70cb","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2025-12-29","27","20","0","74","sunny","Excellent day to plant vegetables.","","694e3466b0df7909ab0e70eb","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kasese","2025-12-26","27","18","12","84","rainy","Ensure structures are secure from heavy rains.","","694e3466b0df7909ab0e70da","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2025-12-26","25","19","18","88","rainy","Prevent flooding in low-lying areas.","","694e3466b0df7909ab0e70e1","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2025-12-30","25","19","10","83","rainy","Keep monitoring for water retention in fields.","","694e3466b0df7909ab0e70e5","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Jinja","2026-01-01","26","20","0","77","sunny","Good time for both planting and harvesting.","","694e3466b0df7909ab0e70d9","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
